taxid	pg	order	ng-mast	azm_mic	azm_int	azm_cat	cfm_mic	cfm_int	cfm_cat	cip_mic	cip_int	cip_cat	cro_mic	cro_int	cro_cat
GCGS0001	6	62	1407	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0002	5	399	6712	1	1.0-1.0	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0003	6	271	1407	1	1.0-1.0	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.125	0.125-0.125	R
GCGS0004	5	402	NA	1	1.0-1.0	S	0.015	0.015-0.015	S	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0005	6	61	NA	1	1.0-1.0	S	0.5	0.5-0.5	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0006	5	449	2265	1	1.0-1.0	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.03	0.03-0.03	S
GCGS0007	6	272	4986	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0008	9	680	NA	0.25	0.25-0.25	S	0.015	0.015-0.015	S	1	1.0-1.0	R	0.008	0.008-0.008	S
GCGS0009	4	1036	359	0.25	0.25-0.25	S	0.063	0.063-0.063	S	0.004	0.004-0.004	S	0.032	0.032-0.032	S
GCGS0010	4	1040	NA	0.5	0.5-0.5	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.015	0.015-0.015	S
GCGS0012	2	842	NA	0.25	0.25-0.25	S	0.06	0.06-0.06	S	0.015	0.015-0.015	S	0.06	0.06-0.06	S
GCGS0013	3	531	NA	0.25	0.25-0.25	S	0.063	0.063-0.063	S	0.004	0.004-0.004	S	0.032	0.032-0.032	S
GCGS0014	2	840	NA	0.5	0.5-0.5	S	0.06	0.06-0.06	S	0.015	0.015-0.015	S	0.06	0.06-0.06	S
GCGS0015	3	532	NA	0.25	0.25-0.25	S	0.063	0.063-0.063	S	0.004	0.004-0.004	S	0.032	0.032-0.032	S
GCGS0016	2	839	NA	0.25	0.25-0.25	S	0.06	0.06-0.06	S	0.015	0.015-0.015	S	0.06	0.06-0.06	S
GCGS0017	6	101	1407	1	1.0-1.0	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.06	0.06-0.06	S
GCGS0018	7	947	2992	8	8.0-8.0	R	0.015	0.015-0.015	S	0.015	0.015-0.015	S	0.008	0.008-0.008	S
GCGS0019	6	100	1407	1	1.0-1.0	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.06	0.06-0.06	S
GCGS0020	5	334	286	0.5	0.5-0.5	S	0.015	0.015-0.015	S	2	2.0-2.0	R	0.008	0.008-0.008	S
GCGS0021	6	102	1407	1	1.0-1.0	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.06	0.06-0.06	S
GCGS0022	1	572	225	0.5	0.5-0.5	S	0.06	0.06-0.06	S	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0023	6	282	1405	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.03	0.03-0.03	S
GCGS0024	2	814	1405	0.5	0.5-0.5	S	0.06	0.06-0.06	S	4	4.0-4.0	R	0.06	0.06-0.06	S
GCGS0025	6	105	1407	0.5	0.5-0.5	S	0.25	0.25-0.25	R	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0026	1	617	NA	0.5	0.5-0.5	S	0.06	0.06-0.06	S	16	16.0-16.0	R	0.06	0.06-0.06	S
GCGS0027	6	108	1407	0.5	0.5-0.5	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.03	0.03-0.03	S
GCGS0028	6	155	1407	1	1.0-1.0	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.008	0.008-0.008	S
GCGS0029	6	110	1407	0.5	0.5-0.5	S	0.25	0.25-0.25	R	32	32.0-32.0	R	0.06	0.06-0.06	S
GCGS0030	6	147	1407	1	1.0-1.0	S	0.015	0.015-0.015	S	8	8.0-8.0	R	0.008	0.008-0.008	S
GCGS0031	6	109	1407	0.5	0.5-0.5	S	0.5	0.5-0.5	R	32	32.0-32.0	R	0.03	0.03-0.03	S
